"IDSTUD","IDCLASS","IDSCHOOL","BSBM19A","BSBM19B","BSBM19C","BSBM19D","BSBM19E","BSBM19F","BSBM19G","BSBM19H","BSBM19I","BSMMAT01","BSMMAT02","BSMMAT03","BSMMAT04","BSMMAT05","math_ss_average"
50010102,500101,5001,1.32519788924567,0.719121979860507,0.814373099429994,1.30811717437216,1.39868740424485,1.82444579460222,1.57655552005755,1.63417725040148,1.51060211655104,-0.660520301729554,-0.584305129084177,-0.75462665657481,-1.55754514885715,-0.823294399824929,-0.903537346803295
50010103,500101,5001,1.32519788924567,1.67744875525812,-0.205104358045456,0.278101524216033,1.39868740424485,0.806665962467395,1.57655552005755,1.63417725040148,1.51060211655104,-0.813340366514823,-0.781041629531852,-1.02782783588007,-1.04636666226942,-1.498333813569,-1.0652675556706
50010104,500101,5001,1.32519788924567,0.719121979860507,0.814373099429994,0.278101524216033,1.39868740424485,1.82444579460222,1.57655552005755,0.676671177445271,0.633952339838491,-0.243119050227641,-0.26486501194048,-0.182581009916072,-0.0269322666765924,-0.503198667959953,-0.251266310687718
50010105,500101,5001,0.36453258914326,0.719121979860507,-0.205104358045456,-0.751914125940094,0.454310495213366,-0.211113869667431,0.616238268104127,-0.280834895510942,-0.242697436874062,-0.208079470802157,-0.355768881434237,-0.821789721740485,-0.0607527649345498,-0.82733089596421,-0.469325426009762
50010106,500101,5001,-1.55679801106156,-1.19753157093472,-1.22458181552091,0.278101524216033,-0.490066413818122,-0.211113869667431,-0.344078983849294,-1.23834096846715,-1.11934721358661,-2.18129016098577,-2.52172122420873,-1.72244993586055,-1.87503128173108,-2.71250926128461,-2.26744795036945
50010107,500101,5001,-1.55679801106156,-0.239204795537108,-1.22458181552091,-0.751914125940094,-1.43444332284961,-1.22889370180226,-1.30439623580272,-1.23834096846715,-1.11934721358661,-1.12458885182195,-1.80883814814614,-0.633882671890516,-0.768831912590233,-1.11408395362972,-1.12121368269895
50010108,500101,5001,0.36453258914326,0.719121979860507,0.814373099429994,0.278101524216033,0.454310495213366,0.806665962467395,0.616238268104127,0.676671177445271,0.633952339838491,-1.11011107386771,-1.23725099573899,-1.59919930192082,-1.04280817952376,-1.2545145486213,-1.28641484582726
50010109,500101,5001,0.36453258914326,-0.239204795537108,-0.205104358045456,1.30811717437216,-0.490066413818122,-0.211113869667431,-0.344078983849294,-0.280834895510942,-0.242697436874062,-1.63938590890722,-1.84259629607921,-2.10337242286885,-1.13797819671555,-1.88907710824647,-1.77364364101595
50010110,500101,5001,1.32519788924567,1.67744875525812,1.83385055690544,1.30811717437216,1.39868740424485,1.82444579460222,1.57655552005755,1.63417725040148,1.51060211655104,-1.14520955159171,-0.854271153018047,-0.970889791231219,-0.730450791767553,-1.14208931345225,-0.9965850203814
50010111,500101,5001,0.36453258914326,0.719121979860507,-0.205104358045456,0.278101524216033,0.454310495213366,0.806665962467395,0.616238268104127,0.676671177445271,0.633952339838491,-0.217228446538126,-0.730186655823895,-0.149970458165992,-0.0515389183317085,0.0216666032477147,-0.231529046564922
